나마,92,146
라바,91,171
가사,73,194
라다,47,191
라가,45,147
가사,91,150
바라,42,171
나라,76,140
바바,96,144
바라,62,193
라사,80,177
바사,65,196
바마,56,195
바마,57,154
라마,68,162
나다,67,165
나바,62,141
다마,63,188
바사,90,199
사가,97,140
마라,98,189
사가,98,162
마가,58,164
사라,48,181
사라,40,149
가나,40,157
마가,90,177
라가,52,189
가가,81,147
바사,66,173
가바,77,192
가사,84,163
나다,49,162
바라,63,153
바마,84,183
사바,82,152
마다,48,178
다가,55,140
나마,90,148
라사,61,188
바사,85,155
바나,40,153
마사,95,184
가바,52,180
마나,48,162
바사,81,161
나바,83,165
라나,77,145
가라,77,148
가나,54,199
가다,77,175
가바,64,168
마사,40,189
가가,40,170
나사,96,178
가바,43,173
마나,60,170
사사,94,145
나라,88,173
사마,52,179
라마,52,195
다마,47,148
마가,87,156
바나,99,146
나다,96,154
가바,43,154
가나,60,183
가바,52,180
라나,41,166
사사,90,185
마사,64,181
가사,63,174
바라,45,195
마바,43,157
바다,41,159
라마,99,145
사나,56,163
마마,77,178
다사,64,144
가다,40,181
사바,54,142
라라,52,150
가라,54,164
라가,57,199
다마,60,163
사마,88,150
가다,72,179
나라,50,163
바다,73,155
바사,72,173
바가,56,156
나사,53,180
사라,85,195
다가,72,160
나라,94,196
바마,78,146
다가,55,177
바바,99,162
바가,77,168
가가,91,153
사가,94,176
바다,61,183
마바,81,194
사다,68,172
가가,46,157
마나,80,176
다가,60,149
마다,69,146
라사,87,172
사바,59,154
마라,81,178
나나,81,155
라다,47,183
바바,82,141
사바,77,195
사바,90,181
라마,62,176
사마,61,183
사가,98,162
바다,77,199
나라,56,140
라가,80,176
가다,90,140
라가,65,178
사다,69,146
가바,42,199
다가,52,157
바마,63,196
바라,93,153
다사,96,145
나다,78,167
마가,93,175
사라,79,197
라다,54,197
사마,89,181
라사,52,197
라나,44,151
라마,53,172
가라,48,160
가라,78,153
나가,59,142
사마,42,148
다나,72,168
마나,55,170
나다,66,185
다라,60,183
라사,84,145
가라,60,175
바사,94,149
다나,72,186
라마,48,191
마사,81,163
라라,93,153
사사,43,195
바라,45,158
라다,48,154
나사,63,155
가다,63,183
다다,44,199
다사,60,141
바다,71,145
가라,55,153
마가,88,194
바가,72,147
나다,60,148
바바,60,174
나사,49,175
다마,77,172
다가,52,160
나사,83,145
다사,57,191
가가,66,179
사마,87,145
바다,60,140
나사,82,160
사사,40,189
가사,59,167
라마,44,166
나마,90,154
나다,69,150
사마,40,145
가가,57,175
바다,44,193
가바,80,160
바라,89,194
사라,81,196
라다,64,168
다나,43,196
다사,77,167
사사,64,160
가마,76,194
가사,70,190
다바,81,167
바라,94,182
라사,55,151
마사,70,194
라다,94,176
바가,64,148
나사,95,164
라나,60,148
라마,88,142
마가,62,199
바나,87,155
다마,83,186
라마,45,196
사다,43,157
바다,43,161
나가,57,169
가라,99,148
바사,40,196
라가,93,169
라라,44,162
마바,74,165
사사,86,165
사바,49,195
마사,99,156
마바,55,196
가바,94,146
마가,95,155
나라,44,141
사다,83,197
나바,92,163
라마,98,155
라바,48,166
다다,50,176
라나,84,176
사나,90,191
사마,63,144
사가,76,147
가사,64,146
마다,75,149
가가,75,167
다라,41,145
마라,74,180
마가,63,196
가사,89,190
가다,93,199
가사,55,184
나나,74,188
라라,50,147
나다,93,184
나마,79,186
다마,76,182
사마,73,145
가다,72,199
다다,56,173
마바,73,180
나마,70,141
나가,49,153
바바,48,142
나가,98,149
마바,92,176
나다,51,183
마마,86,197
다사,71,192
사사,90,168
마사,48,185
바나,92,156
라사,88,170
가마,94,152
사라,73,141
가나,84,159
사다,92,166
다마,88,149
가라,88,142
바사,81,161
바사,86,165
나가,73,154
나다,61,182
다나,43,154
나마,76,158
다사,54,158
마사,94,164
다사,95,153
마다,44,186
나라,68,181
마다,75,185
바나,76,168
나마,42,185
라사,83,154
라라,55,181
바사,69,198
마다,46,169
바나,47,144
마라,89,199
다마,80,182
마사,54,165
나라,89,140
사나,57,143
다다,97,199
다마,89,175
바사,54,140
바마,88,146
라가,82,169
가다,93,170
가가,42,168
가가,40,172
라나,41,149
마가,83,196
가가,62,167
나사,59,147
바마,92,167
가나,88,159
바바,78,148
라바,75,171
사가,96,162
마나,83,189
사사,45,155
라마,93,193
사바,89,153
다마,64,167
나다,77,167
라가,60,150
라라,91,199
사라,78,193
바마,53,194
마다,43,156
가나,50,197
마마,83,169
바다,70,152
마다,81,166
가마,60,161
가라,49,140
사다,93,199
사다,43,159
가사,86,164
다다,68,141
가마,90,170
바가,41,147
라다,89,153
사나,85,181
가사,73,196
다마,81,157
다마,77,149
사라,89,145
나사,84,171
사나,63,166
나다,93,185
라가,95,142
바가,86,181
나라,93,154
다가,53,196
가마,56,167
나마,87,144
다나,44,183
마다,92,153
다가,73,190
다라,61,160
가가,71,192
사다,79,194
라가,96,172
바나,77,168
사다,50,165
사라,71,179
마마,77,185
나마,80,175
마마,63,196
라마,81,142
가라,51,188
가다,45,167
라바,55,170
바사,60,144
사나,50,194
사바,69,157
나바,45,150
나가,94,172
라라,79,183
나사,94,150
사바,44,163
바라,64,190
나나,92,195
마다,69,170
나라,93,141
다나,75,170
라마,65,166
가라,86,166
사가,98,186
나사,63,189
마바,77,195
마바,51,148
다가,50,149
마마,60,196
마사,98,186
다사,57,141
라다,54,169
사다,88,143
라마,69,170
나바,69,172
마라,88,152
사나,67,155
마바,61,149
가마,64,182
나나,54,177
다다,58,159
마다,44,149
라바,57,143
마사,56,159
바나,72,188
다다,97,173
다마,85,143
다다,90,153
가나,64,188
가사,67,196
사사,60,199
나사,56,195
바바,60,179
가사,88,166
가사,95,181
다사,42,179
사나,84,150
나라,46,153
사마,54,153
마라,54,181
나가,92,152
다라,62,187
마다,47,159
라바,64,198
가바,86,161
다마,63,140
사다,48,151
다사,41,198
마다,73,191
가바,89,162
마나,68,186
가가,96,182
가가,79,194
다라,53,187
라마,76,155
나나,94,187
마나,66,190
다나,76,193
다사,43,174
다바,46,169
마마,63,155
사라,48,182
사마,63,175
나라,95,196
나나,88,195
사가,45,168
라다,53,170
가다,86,148
마마,40,188
다나,85,142
다사,69,178
마나,91,192
나사,75,162
나라,43,157
사사,69,180
다나,66,197
다마,56,186
사나,96,175
가바,88,176
가다,83,145
바라,41,167
라나,44,183
사라,79,187
가가,44,186
다바,61,150
다바,48,142
바라,76,141
가바,89,159
다나,88,155
사마,50,166
나사,59,153
바라,78,181
바마,83,186
사가,75,159
바라,71,149
사라,50,174
사다,84,148
마나,43,198
가나,61,149
가다,89,170
마마,84,169
마나,63,144
가가,41,180
사사,69,189
나다,69,166
마라,74,186
사마,76,181
가마,95,154
가사,66,189
가마,82,195
나사,42,196
다나,46,141
바가,69,186
사바,96,175
바마,51,178
가다,43,179
가바,45,176
다마,88,148
다다,60,157
사다,42,168
가다,83,181
가사,90,198
바마,54,157
마사,50,196
마라,62,195
라사,42,142
라나,90,156
바사,47,181
바라,42,148
마라,78,186
가라,87,164
다나,81,160
나라,73,146
마바,89,148
다마,76,173
사라,91,173
다나,64,143
라마,55,166
가가,56,142
가나,56,174
라나,99,166
나가,55,196
가나,56,186
다가,50,199
마가,95,167
마마,76,179
다라,94,151
나바,50,191
사나,82,148
사다,66,159
마가,91,199
나다,60,142
사나,58,174
다다,69,167
라다,68,166
사바,44,188
사나,97,158
가가,84,186
마가,73,144
마나,69,176
가바,83,163
마사,53,162
마다,65,182
라바,55,183
나나,61,166
다다,56,198
사나,40,162
바다,59,181
마마,55,169
마라,93,171
바마,51,165
가가,96,168
바마,74,146
다가,89,180
나다,78,178
사바,84,145
마나,74,156
나라,53,198
사마,97,166
나사,56,172
나라,41,150
사라,62,146
나나,90,163
나마,79,150
사바,94,198
마사,68,146
나바,88,161
라바,56,181
가가,96,198
다가,45,193
라라,65,153
바사,46,183
바바,82,175
라가,87,175
라가,93,198
다나,49,176
다사,56,188
라바,48,147
마마,53,199
다사,73,187
마다,54,184
사다,69,143
가라,90,181
바라,84,163
사바,70,157
바바,53,145
나마,62,198
사다,77,194
라마,40,186
가가,48,167
라라,68,180
가가,88,188
마나,88,160
바나,81,183
마바,86,168
마바,65,142
라다,97,142
사마,60,180
나가,72,180
다나,80,155
바사,43,161
나가,96,152
마나,78,143
바마,80,150
나마,61,184
사가,97,169
사마,49,172
나사,59,184
바다,68,179
다라,51,143
다다,46,173
다바,52,141
사나,92,171
다나,73,176
마나,47,175
나마,59,146
바가,96,184
다다,67,178
다나,44,193
다가,65,153
마마,42,169
라사,95,157
마마,73,197
바가,71,166
바가,92,163
라라,54,141
다다,55,155
사가,89,149
라바,45,153
마바,67,146
나바,91,173
나라,77,142
사바,90,158
마사,52,199
가마,83,194
사나,78,166
나나,74,179
다라,41,150
사사,62,198
사바,87,162
라바,73,146
라바,82,148
바마,45,144
나마,57,161
나다,90,194
바나,91,193
나다,96,190
나나,59,159
사나,53,186
나사,64,158
가나,55,141
나사,49,199
다마,68,151
라사,74,188
나마,83,148
나마,78,177
마라,52,174
라나,91,144
라가,60,189
가나,76,176
다나,97,170
라라,74,185
가나,67,173
바나,94,188
나가,83,145
마사,41,170
가사,98,152
라다,85,192
마바,82,169
가바,60,171
나사,83,168
사다,73,142
마나,81,144
다바,57,178
나다,42,199
가가,52,191
라가,72,185
다다,45,177
다가,77,173
마마,68,185
마사,75,196
라마,91,184
사라,96,181
나가,45,142
바사,90,157
다마,41,179
가사,75,174
사가,43,148
바나,99,169
다다,41,175
마가,88,195
가바,48,142
사바,69,188
다다,77,168
나사,53,164
다다,79,189
사라,40,192
마라,52,181
가라,71,185
가라,99,166
사다,96,176
라바,77,147
가사,88,193
라다,77,196
라나,92,190
다사,93,197
바라,58,151
가가,44,163
가나,84,180
가마,44,189
가바,77,165
바바,48,187
바다,63,148
나나,66,198
가사,59,197
라다,50,197
다사,90,192
다다,55,157
다가,71,192
마나,79,194
마마,62,198
나다,79,199
바사,66,198
마다,61,171
다나,83,157
라마,60,184
나사,57,151
라가,94,150
마나,45,180
마나,79,174
마바,95,182
나바,74,193
가마,45,194
가나,58,180
다라,87,180
나사,83,170
나가,62,157
마다,76,159
마바,82,199
다다,52,161
가라,47,176
라가,65,189
바가,62,177
다라,80,154
마사,64,163
사라,66,168
다라,49,166
마가,41,170
가가,54,172
다가,85,155
다바,65,170
라다,71,155
라가,41,142
다가,59,165
라다,93,198
마라,62,197
사나,91,155
바사,59,146
가나,48,153
가사,81,150
사가,62,196
바마,44,191
마사,96,140
마라,75,175
나다,91,182
바라,44,193
사라,46,166
다나,44,184
나바,71,175
라다,84,155
라바,92,150
바사,67,184
사마,70,141
다라,44,193
바사,82,146
사다,51,178
다바,66,162
다나,83,198
나나,41,197
나사,50,184
나사,69,152
라사,41,155
다바,77,157
바가,76,194
마바,81,170
사마,62,175
마바,72,144
사라,84,161
바나,92,174
